event_time,cycle_id,deployment_generation,model_name,model_version,prediction,actual_breakage,drift_score,latency_ms,segment
2026-03-09 22:40:58.934257+00,49,2,cnc_tool_breakage_classifier,2,1,0,0.161642,14.6435,before_update
2026-03-09 22:40:58.985299+00,50,2,cnc_tool_breakage_classifier,2,1,1,0.258687,35.6328,before_update
2026-03-09 22:40:59.036346+00,51,2,cnc_tool_breakage_classifier,2,1,1,0.34743,11.6301,before_update
2026-03-09 22:40:59.087329+00,52,2,cnc_tool_breakage_classifier,2,1,1,0.167565,8.3606,before_update
2026-03-09 22:40:59.138251+00,53,2,cnc_tool_breakage_classifier,2,1,1,0.187692,7.389,before_update
2026-03-09 22:40:59.189204+00,54,2,cnc_tool_breakage_classifier,2,0,0,0.197095,8.8951,before_update
2026-03-09 22:40:59.240251+00,55,2,cnc_tool_breakage_classifier,2,0,0,0.349781,8.4633,before_update
2026-03-09 22:40:59.291194+00,56,2,cnc_tool_breakage_classifier,2,1,1,0.353917,10.4003,before_update
2026-03-09 22:40:59.342231+00,57,2,cnc_tool_breakage_classifier,2,1,1,0.254282,74.579,before_update
2026-03-09 22:40:59.39338+00,58,2,cnc_tool_breakage_classifier,2,0,0,0.247252,29.9493,before_update
2026-03-09 22:40:59.444165+00,59,2,cnc_tool_breakage_classifier,2,1,1,0.214143,18.374,before_update
2026-03-09 22:40:59.495235+00,60,2,cnc_tool_breakage_classifier,2,1,1,0.504747,19.027,before_update
2026-03-09 22:40:59.54618+00,61,2,cnc_tool_breakage_classifier,2,1,1,0.271102,7.8133,before_update
2026-03-09 22:40:59.598129+00,62,2,cnc_tool_breakage_classifier,2,1,1,0.316804,4.1982,before_update
2026-03-09 22:40:59.649177+00,63,2,cnc_tool_breakage_classifier,2,1,1,0.28153,8.1097,before_update
2026-03-09 22:40:59.70023+00,64,2,cnc_tool_breakage_classifier,2,1,0,0.276804,4.1051,before_update
2026-03-09 22:40:59.751344+00,65,2,cnc_tool_breakage_classifier,2,1,1,0.17944,27.4728,before_update
2026-03-09 22:40:59.802255+00,66,2,cnc_tool_breakage_classifier,2,1,1,0.242064,4.0717,before_update
2026-03-09 22:40:59.853223+00,67,2,cnc_tool_breakage_classifier,2,1,1,0.281677,25.8545,before_update
