record_type,observed_at,event_time,cycle_id,latency_ms,prediction,actual_breakage,drift_score,model_name,model_version,cpu_pct,mem_usage_mib,mem_limit_mib,mem_pct
inference_event,,2026-03-09 22:27:37.943083+00,211,8.6747,1,1,0.223319,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:37.999089+00,212,6.947,0,1,0.326269,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:38.051882+00,213,10.544,1,1,0.239382,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:38.104427+00,214,7.7294,0,1,0.338232,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:38.155462+00,215,14.7256,0,1,0.243016,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:38.211115+00,216,8.2392,1,1,0.320019,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:38.267082+00,217,9.4153,1,1,0.360177,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:38.323144+00,218,6.3012,1,1,0.217938,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:38.379131+00,219,7.8422,1,1,0.338793,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:38.431263+00,220,15.1272,1,1,0.297707,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:38.484558+00,221,3.5848,1,0,0.234036,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:38.536961+00,222,9.7008,1,1,0.33327,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:38.592796+00,223,15.4237,1,0,0.249459,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:38.647191+00,224,10.5484,1,1,0.165444,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:38.703182+00,225,7.4555,1,1,0.300901,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:38.757593+00,226,10.3797,1,1,0.297209,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:38.814145+00,227,6.1534,1,1,0.347197,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:38.8688+00,228,9.3898,1,1,0.303523,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:38.920751+00,229,8.2764,1,0,0.253488,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:38.974689+00,230,4.293,1,1,0.284613,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:39.031127+00,231,7.4265,1,1,0.322685,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:39.087142+00,232,8.3828,1,1,0.229234,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:39.138646+00,233,7.9993,1,1,0.293393,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:39.195147+00,234,8.588,1,1,0.189136,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:39.250592+00,235,28.7324,1,1,0.238602,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:39.30479+00,236,7.757,1,1,0.196662,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:39.357025+00,237,5.4256,0,1,0.344714,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:39.413149+00,238,8.486,0,1,0.183072,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:39.467064+00,239,9.2457,1,1,0.18885,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:39.51984+00,240,9.6594,1,0,0.290722,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:39.57332+00,241,5.6299,1,1,0.307507,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:39.626497+00,242,9.2997,1,1,0.278459,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:39.677547+00,243,7.3985,1,0,0.207742,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:39.730405+00,244,38.5747,1,0,0.328827,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:39.783925+00,245,2.9058,0,1,0.281802,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:39.835685+00,246,50.9867,0,0,0.290121,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:39.887554+00,247,2.8375,1,1,0.207149,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:39.939266+00,248,12.2165,1,1,0.201973,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:39.990378+00,249,6.1883,1,1,0.367443,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:40.043076+00,250,10.4515,1,1,0.224354,cnc_tool_breakage_classifier,1,,,,
